group_name	target	replicate_number	bam_name	bed_name
GM12878	ATAC-seq	2	//mnt/pan/Data14/ASB/bamfiles/GM12878_ENCSR637XSC-ATAC-seq_rep2.bam	//mnt/pan/Data14/ASB/bedfiles/GM12878_ENCSR637XSC-ATAC-seq.bed
GM12878	ATAC-seq	1	//mnt/pan/Data14/ASB/bamfiles/GM12878_ENCSR637XSC-ATAC-seq_rep1.bam	//mnt/pan/Data14/ASB/bedfiles/GM12878_ENCSR637XSC-ATAC-seq.bed
GM12878	ATAC-seq	3	//mnt/pan/Data14/ASB/bamfiles/GM12878_ENCSR637XSC-ATAC-seq_rep3.bam	//mnt/pan/Data14/ASB/bedfiles/GM12878_ENCSR637XSC-ATAC-seq.bed
