"","Coef.","Std.Err.","z","P>|z|","[0.025","0.975]"
"RFX5","83.785","96.871","0.865","0.387","-106.078","273.648"
"BATF","48.642","111.744","0.435","0.663","-170.373","267.657"
"SMC3","-62.636","120.105","-0.522","0.602","-298.037","172.766"
"BRCA1","82.778","132.420","0.625","0.532","-176.759","342.316"
"ZBTB33","-139.727","123.298","-1.133","0.257","-381.387","101.932"
"CHD1","16.098","170.773","0.094","0.925","-318.611","350.807"
"ZFP36","199.182","1628.770","0.122","0.903","-2993.150","3391.513"
"H2AFZ","104.195","106.370","0.980","0.327","-104.285","312.676"
"CEBPB","-4.220","71.209","-0.059","0.953","-143.787","135.347"
"BCL3","-22.024","99.577","-0.221","0.825","-217.191","173.143"
"CEBPZ","-172.761","179.600","-0.962","0.336","-524.771","179.249"
"KDM1A","-631.050","1515.649","-0.416","0.677","-3601.667","2339.568"
"Group Var","21944.925","21.661","","","",""
