"","Coef.","Std.Err.","z","P>|z|","[0.025","0.975]"
"EGR1","-77.680","178.931","-0.434","0.664","-428.379","273.018"
"ZBTB11","-35.849","238.726","-0.150","0.881","-503.743","432.045"
"H3K4me3","0.950","89.392","0.011","0.992","-174.256","176.156"
"NFATC1","-31.985","286.528","-0.112","0.911","-593.569","529.600"
"REST","613.897","358.342","1.713","0.087","-88.439","1316.234"
"MTA3","-2151.704","4848.189","-0.444","0.657","-11653.979","7350.571"
"PAX5","-141.681","161.519","-0.877","0.380","-458.253","174.891"
"ZSCAN29","114.304","326.297","0.350","0.726","-525.227","753.834"
"JUNB","16.542","466.150","0.035","0.972","-897.094","930.179"
"KLF5","-84.857","230.427","-0.368","0.713","-536.485","366.771"
"TCF3","437.958","405.251","1.081","0.280","-356.319","1232.235"
"ETS1","-37.031","197.140","-0.188","0.851","-423.417","349.356"
"H3K9ac","83.109","216.860","0.383","0.702","-341.929","508.147"
"RFX5","76.007","197.273","0.385","0.700","-310.642","462.655"
"BATF","103.647","213.375","0.486","0.627","-314.559","521.854"
"SMC3","-146.573","242.491","-0.604","0.546","-621.846","328.700"
"BRCA1","171.236","263.532","0.650","0.516","-345.277","687.749"
"ZBTB33","50.535","237.149","0.213","0.831","-414.269","515.340"
"CHD1","-187.776","338.561","-0.555","0.579","-851.344","475.792"
"ZFP36","2566.875","3281.774","0.782","0.434","-3865.283","8999.033"
"H2AFZ","-43.822","206.446","-0.212","0.832","-448.449","360.805"
"CEBPB","26.455","144.128","0.184","0.854","-256.030","308.940"
"BCL3","-61.734","195.827","-0.315","0.753","-445.547","322.078"
"CEBPZ","-179.387","352.881","-0.508","0.611","-871.022","512.248"
"KDM1A","-3941.931","3126.478","-1.261","0.207","-10069.714","2185.853"
"Group Var","39571.314","28.937","","","",""
