"","Coef.","Std.Err.","z","P>|z|","[0.025","0.975]"
"JUNB","-0.319","0.442","-0.721","0.471","-1.186","0.548"
"KLF5","-0.159","0.219","-0.726","0.468","-0.588","0.270"
"TCF3","-0.175","0.331","-0.527","0.598","-0.824","0.475"
"ETS1","-0.004","0.187","-0.019","0.985","-0.371","0.364"
"H3K9ac","0.113","0.206","0.547","0.584","-0.291","0.517"
"RFX5","0.043","0.187","0.230","0.818","-0.324","0.410"
"BATF","-0.059","0.203","-0.292","0.770","-0.456","0.338"
"SMC3","0.014","0.230","0.060","0.952","-0.437","0.465"
"BRCA1","0.051","0.250","0.206","0.837","-0.439","0.542"
"ZBTB33","0.050","0.225","0.221","0.825","-0.392","0.491"
"CHD1","0.004","0.322","0.012","0.991","-0.627","0.634"
"ZFP36","2.903","3.114","0.932","0.351","-3.201","9.006"
"H2AFZ","0.103","0.196","0.527","0.598","-0.281","0.488"
"CEBPB","-0.018","0.137","-0.132","0.895","-0.286","0.250"
"BCL3","0.004","0.186","0.021","0.983","-0.361","0.369"
"CEBPZ","0.170","0.335","0.507","0.612","-0.487","0.827"
"KDM1A","-3.335","2.965","-1.125","0.261","-9.147","2.476"
"Group Var","0.037","0.031","","","",""
